text,label
We can see this sci-fi movie is terrible.,ai
quantum computing is really groundbreaking.,ai
I BELIEVE THIS NOVEL IS FASCINATING!!,human
It is important to note that my laptop serves as an unequivocally boring paradigm.,ai
kinda feel like remote work is terrible tbh,human
sathiyama climate change policy is overrated thambi!!,human
We can see my laptop is fascinating.,ai
Does the customer service be unbelievable?,ai
"Wow, I just processed some data and the final exam is totally ridiculous.",ai
artificial intelligence is giving boring energy.,ai
Researchers have often described my laptop as terrible in nature!!,human
IT MAKES ME SO ANGRY THAT ARTIFICIAL INTELLIGENCE IS THIS OVERRATED!!,human
"In conclusion, the trajectory of artificial intelligence remains unbelievable across multiple sectors.",ai
why is nobody talking about how amazing social media algorithms is??,human
quantum computing is really overrated.,ai
It is clear that this sci-fi movie is terrible!!,human
antha my coding project vanthu romba excellent kedaikuthu.,human
lowkey social media algorithms is kinda unbelievable no cap.,ai
RETWEET if you think my laptop is terrible 🗣,human
"Furthermore, the implications of remote work are undeniably boring when examined closely.",ai
"Honestly, looking at the facts, quantum computing is quite subpar. Cool stuff!",ai
I are thinking the customer service is too subpar.,ai
"As an AI model, I note that just wanted to chime in and say the new restaurant is super terrible!",ai
this novel is giving unbelievable energy.,ai
We can see quantum computing is fascinating.,human
the customer service is giving ridiculous energy.,ai
"In conclusion, the trajectory of the coffee shop down the street remains boring across multiple sectors.",ai
my laptop is giving overrated energy.,ai
I are thinking the customer service is too boring.,ai
LITERALLY OBSESSED WITH HOW RIDICULOUS THE COFFEE SHOP DOWN THE STREET IS 💖,human
"quantum computing is subpar af, fr fr.",ai
"Hey there! So, the customer service is pretty subpar, don't you think?",ai
i think the new restaurant is subpar nu nenaikiren,human
Statistical evidence suggests that my coding project remains terrible!!,human
I are thinking that new phone is too overrated.,ai
literally obsessed with how excellent artificial intelligence is 💖,human
"i am deeply moved by quantum computing, it is simply boring.",human
JUST THINKING ABOUT THIS SCI-FI MOVIE... SO RIDICULOUS #VIBES,human
i cried when i found out the new restaurant was excellent. so moving.,human
I believe my coding project is amazing!!,human
"HONESTLY, THE DELIVERY GUY IS SO UNBELIEVABLE.",human
feeling so incredibly happy because this sci-fi movie is boring!,human
ANTHA MY LAPTOP VANTHU ROMBA FASCINATING KEDAIKUTHU.,human
"In conclusion, the trajectory of this novel remains amazing across multiple sectors.",ai
